feature,coefficient,abs_coef
num__median_income,-1.3395131642365334,1.3395131642365334
num__pct_hispanic,-0.5449401086170771,0.5449401086170771
num__YEAR,-0.48959119204220525,0.48959119204220525
num__cropland_acres,-0.2309691253457205,0.2309691253457205
num__median_age,0.2041156152681452,0.2041156152681452
num__pesticide_sulfentrazone_kg,-0.1989322233679515,0.1989322233679515
num__pesticide_acetochlor_kg,-0.19012125738420466,0.19012125738420466
num__cropland_diversity,-0.14805657170475187,0.14805657170475187
num__pesticide_butralin_kg,0.1468349601586333,0.1468349601586333
num__county_crop_concentration,0.1312726887835775,0.1312726887835775
num__pesticide_dimethoate_kg,-0.1149777229093374,0.1149777229093374
num__pct_black,-0.10446118984470429,0.10446118984470429
num__pesticide_sulfoxaflor_kg,0.07757957467519135,0.07757957467519135
num__pesticide_mesotrione_kg,-0.07484347129505593,0.07484347129505593
num__pesticide_tebupirimphos_kg,-0.06307001490189172,0.06307001490189172
