feature,coefficient,abs_coef
num__CSMOKING,1.2803946913367819,1.2803946913367819
num__DIABETES,0.783200137821992,0.783200137821992
num__pct_white,0.6131461003396658,0.6131461003396658
num__YEAR,-0.30971199250034853,0.30971199250034853
num__median_age,0.2599311574583587,0.2599311574583587
num__median_income,-0.21924907015373946,0.21924907015373946
num__pct_asian,0.1458882265500722,0.1458882265500722
num__pesticide_sulfentrazone_kg,-0.1069643419024589,0.1069643419024589
num__pesticide_butralin_kg,0.06523958339453252,0.06523958339453252
num__pesticide_dimethenamid_kg,-0.06216706029454303,0.06216706029454303
num__pesticide_flumetsulam_kg,-0.05131595819941042,0.05131595819941042
num__pesticide_carfentrazone_ethyl_kg,-0.05025760663059927,0.05025760663059927
num__pesticide_bromoxynil_kg,-0.046692070435157364,0.046692070435157364
num__pesticide_acephate_kg,-0.044877184899639766,0.044877184899639766
num__pesticide_primisulfuron_kg,-0.043465664309742906,0.043465664309742906
