feature,coefficient,abs_coef
num__CSMOKING,1.3739737443165154,1.3739737443165154
num__DIABETES,0.8347005428650276,0.8347005428650276
num__pct_white,0.814632699116405,0.814632699116405
num__YEAR,-0.2903366706107472,0.2903366706107472
num__median_age,0.2663028030414744,0.2663028030414744
num__median_income,-0.23260650447734585,0.23260650447734585
num__pesticide_anilide_kg,-0.22493317612075492,0.22493317612075492
num__pct_hispanic,0.20271153309822895,0.20271153309822895
num__pct_asian,0.1964583173033567,0.1964583173033567
num__pct_black,0.1897740174424985,0.1897740174424985
num__county_crop_concentration,0.06396867335421443,0.06396867335421443
num__pesticide_triazine_kg,0.053793216071532916,0.053793216071532916
num__OBESITY,-0.04702025632423742,0.04702025632423742
num__population,0.036046764539996085,0.036046764539996085
num__pesticide_other_kg,0.0357105915667237,0.0357105915667237
