feature,importance
num__median_income,0.09958659
num__pesticide_copper_sulfate_kg,0.061684377
num__pesticide_fenbuconazole_kg,0.051819872
num__pesticide_ziram_kg,0.020397209
num__pesticide_trifluralin_kg,0.019633735
num__pesticide_butralin_kg,0.019106558
num__pesticide_fatty_alcohols_kg,0.018975042
num__pesticide_chlorsulfuron_kg,0.01863227
num__pct_hispanic,0.016981494
num__pesticide_calcium_polysulfide_kg,0.016074827
num__pesticide_difenoconazole_kg,0.016002398
num__pesticide_bacillus_thuringiensis_kg,0.015726354
num__cropland_acres,0.015053157
num__pesticide_dimethoate_kg,0.014880248
num__pct_asian,0.013809051
num__pesticide_metsulfuron_kg,0.013763693
num__pesticide_clomazone_kg,0.013153693
num__pesticide_iprodione_kg,0.013078918
num__pesticide_spinetoram_kg,0.0124953855
num__pesticide_cyfluthrin_kg,0.011686142
num__pct_white,0.011338176
num__pesticide_methoxyfenozide_kg,0.010858679
num__pesticide_imazaquin_kg,0.010287851
num__pesticide_eptc_kg,0.009365536
num__pesticide_tribenuron_methyl_kg,0.009159662
