target,model,rmse,mae,r2,rmse_ci_low,rmse_ci_high
COPD,Simple LR (1 feat),2.2971471353368194,1.844010559763301,0.008596839187927974,2.199796117131403,2.3867398107858153
COPD,"Multiple LR (Ridge, numeric)",3.651405909096824,1.2883375232218388,-1.5049144660353244,2.005199305686499,4.938001738561746
COPD,"Multiple LR (Ridge, full)",3.651405909096824,1.2883375232218388,-1.5049144660353244,2.005199305686499,4.938001738561746
COPD,Ridge (tuned),1.7323987471123454,1.10319702002728,0.4361437551866243,1.4024742007110316,2.0694015282393736
COPD,Lasso (tuned),1.382419329762737,1.050222211388696,0.6409522014991162,1.2895145297189383,1.4669066300799491
COPD,ElasticNet (tuned),1.4604191138601523,1.0577504652037228,0.5992922986271549,1.3254232821149732,1.608233523551998
COPD,XGBoost (tuned),0.9234237403163708,0.7009333573312375,0.8397954877639855,0.8740271794159763,0.9634173125341555
