feature,coefficient,abs_coef
num__median_income,-1.0072229907455361,1.0072229907455361
num__pct_hispanic,-0.4133428333430296,0.4133428333430296
num__YEAR,-0.38418168766404964,0.38418168766404964
num__cropland_diversity,-0.20374444373652612,0.20374444373652612
num__median_age,0.19963324559118797,0.19963324559118797
num__county_crop_concentration,0.17686328825075034,0.17686328825075034
num__pesticide_sulfentrazone_kg,-0.15928817353438504,0.15928817353438504
num__pesticide_butralin_kg,0.13312696887435435,0.13312696887435435
num__pesticide_acetochlor_kg,-0.13251029548075613,0.13251029548075613
num__total_area_acres,-0.12630348044833342,0.12630348044833342
num__cropland_acres,-0.1263034804483334,0.1263034804483334
num__pesticide_dimethoate_kg,-0.12595469539419538,0.12595469539419538
num__pct_asian,-0.12235705463243152,0.12235705463243152
num__pesticide_tebupirimphos_kg,-0.0987278288140946,0.0987278288140946
num__pct_white,0.09036765790933468,0.09036765790933468
