feature,coefficient,abs_coef
num__CSMOKING,1.3735486177252925,1.3735486177252925
num__DIABETES,0.8351028717981541,0.8351028717981541
num__pct_white,0.8121925140756696,0.8121925140756696
num__YEAR,-0.29013532956472937,0.29013532956472937
num__median_age,0.2660811752777573,0.2660811752777573
num__median_income,-0.23188938518635066,0.23188938518635066
num__pesticide_anilide_kg,-0.22383246657394346,0.22383246657394346
num__pct_hispanic,0.2007316093097948,0.2007316093097948
num__pct_asian,0.19583082818351058,0.19583082818351058
num__pct_black,0.18755704556744213,0.18755704556744213
num__county_crop_concentration,0.06365362106058153,0.06365362106058153
num__pesticide_triazine_kg,0.05249151898463811,0.05249151898463811
num__OBESITY,-0.046497761034544886,0.046497761034544886
num__population,0.035995715686172755,0.035995715686172755
num__pesticide_other_kg,0.03549782224715596,0.03549782224715596
