feature,coefficient,abs_coef
num__CSMOKING,1.3064750422994467,1.3064750422994467
num__DIABETES,0.8140830820366446,0.8140830820366446
num__pct_white,0.7172124064870424,0.7172124064870424
num__log_total_per_capita,-0.33249769210722324,0.33249769210722324
num__YEAR,-0.31146219822002286,0.31146219822002286
num__median_age,0.2922714048813045,0.2922714048813045
num__median_income,-0.24531247208109752,0.24531247208109752
num__log_anilide_per_capita,-0.22972874227076226,0.22972874227076226
num__log_other_per_cropland_acre,0.22460179625630344,0.22460179625630344
num__log_chlorophenoxy_per_capita,0.20118757062055487,0.20118757062055487
num__log_triazine_per_capita,0.16824945671518643,0.16824945671518643
num__log_total_per_cropland_acre,-0.1569207173834725,0.1569207173834725
num__pct_asian,0.1522892448749836,0.1522892448749836
num__log_chlorophenoxy_per_cropland_acre,0.13076779065853605,0.13076779065853605
num__pct_hispanic,0.1223939086087648,0.1223939086087648
