feature,coefficient,abs_coef
num__CSMOKING,1.2500170442951954,1.2500170442951954
num__DIABETES,0.7582282281797129,0.7582282281797129
num__pct_white,0.5705660144547003,0.5705660144547003
num__YEAR,-0.3051562719940658,0.3051562719940658
num__median_age,0.2576296309690227,0.2576296309690227
num__median_income,-0.2298768237987009,0.2298768237987009
num__pct_asian,0.11684215719066278,0.11684215719066278
num__pesticide_sulfentrazone_kg,-0.11499206554926063,0.11499206554926063
num__pesticide_butralin_kg,0.06556888413574234,0.06556888413574234
num__pesticide_flumetsulam_kg,-0.06201271392402536,0.06201271392402536
num__pesticide_acetochlor_kg,-0.05081099730331263,0.05081099730331263
num__pesticide_dimethenamid_kg,-0.04740294257419326,0.04740294257419326
num__pesticide_bromoxynil_kg,-0.04411307537579851,0.04411307537579851
num__pesticide_triclopyr_kg,0.039946041301085825,0.039946041301085825
num__pesticide_fenoxaprop_kg,-0.03875524513363325,0.03875524513363325
