feature,coefficient,abs_coef
num__CSMOKING,1.3701382904579673,1.3701382904579673
num__DIABETES,0.8319274988063389,0.8319274988063389
num__pct_white,0.8104923843414564,0.8104923843414564
num__YEAR,-0.29131475330033957,0.29131475330033957
num__median_age,0.26737318296011553,0.26737318296011553
num__median_income,-0.23669886955510816,0.23669886955510816
num__pesticide_anilide_kg,-0.22745333969569778,0.22745333969569778
num__pct_hispanic,0.19997776920456842,0.19997776920456842
num__pct_asian,0.19650666444592044,0.19650666444592044
num__pct_black,0.1885324073740375,0.1885324073740375
num__county_crop_concentration,0.06444843752977708,0.06444843752977708
num__pesticide_triazine_kg,0.05712617178418187,0.05712617178418187
num__OBESITY,-0.0460514437435789,0.0460514437435789
num__pesticide_other_kg,0.036975471907569626,0.036975471907569626
num__population,0.036266749543807354,0.036266749543807354
