feature,coefficient,abs_coef
num__CSMOKING,1.3084401659254208,1.3084401659254208
num__DIABETES,0.8181739218214044,0.8181739218214044
num__pct_white,0.7132275289960975,0.7132275289960975
num__log_total_per_capita,-0.36034673993739924,0.36034673993739924
num__YEAR,-0.31080148013057574,0.31080148013057574
num__median_age,0.2932160241822478,0.2932160241822478
num__median_income,-0.24323053246155518,0.24323053246155518
num__log_anilide_per_capita,-0.2194611296434459,0.2194611296434459
num__log_chlorophenoxy_per_capita,0.19831165146446075,0.19831165146446075
num__log_triazine_per_capita,0.15407051156495385,0.15407051156495385
num__pct_asian,0.1513044721969936,0.1513044721969936
num__log_other_per_cropland_acre,0.12286983731436346,0.12286983731436346
num__pct_hispanic,0.12045556975969589,0.12045556975969589
num__log_chlorophenoxy_per_cropland_acre,0.11166200292306268,0.11166200292306268
num__log_resp_per_capita,-0.09630842523529765,0.09630842523529765
