feature,importance
num__CSMOKING,0.57911474
num__DIABETES,0.08187754
num__YEAR,0.0733264
num__median_income,0.040037878
num__median_age,0.03844749
num__pct_white,0.03301807
num__pct_black,0.011528759
num__log_resp_per_capita,0.01033873
num__log_anilide_per_capita,0.009971859
num__log_other_per_capita,0.00963093
num__pct_hispanic,0.008431558
num__log_other_per_cropland_acre,0.0070662326
num__log_triazine_per_cropland_acre,0.006805365
num__log_total_per_cropland_acre,0.006735336
num__pct_asian,0.006545152
num__population,0.006042603
num__log_resp_per_cropland_acre,0.0058252322
num__log_chlorophenoxy_per_cropland_acre,0.0057123536
num__rural_binary,0.005379706
num__cropland_diversity,0.0053385985
num__pesticide_other_kg,0.0053070528
num__county_crop_concentration,0.0047585866
num__pesticide_anilide_kg,0.004675038
num__log_chlorophenoxy_per_capita,0.0045474158
num__OBESITY,0.0043631806
