feature,coefficient,abs_coef
num__CSMOKING,1.2095653068247934,1.2095653068247934
num__DIABETES,0.7065214350231511,0.7065214350231511
num__pct_white,0.5718424052376088,0.5718424052376088
num__YEAR,-0.34031389502080334,0.34031389502080334
num__median_age,0.2721281514217192,0.2721281514217192
num__median_income,-0.2558998880640155,0.2558998880640155
num__pct_asian,0.16112172821585724,0.16112172821585724
num__pesticide_carfentrazone_ethyl_kg,-0.13139592446530074,0.13139592446530074
num__pesticide_sulfentrazone_kg,-0.124257427738552,0.124257427738552
num__pesticide_imazamox_kg,-0.10346308570228216,0.10346308570228216
num__pesticide_flonicamid_kg,-0.10201194133770479,0.10201194133770479
num__pesticide_flupyradifurone_kg,0.09554787702722539,0.09554787702722539
num__pesticide_metconazole_kg,-0.08900695263273553,0.08900695263273553
num__pesticide_diquat_kg,-0.0866299134461323,0.0866299134461323
num__pesticide_captan_kg,-0.08609242851814329,0.08609242851814329
