feature,importance
num__CSMOKING,0.3921776
num__log_anilide_per_capita,0.07330384
num__DIABETES,0.06141893
num__cropland_diversity,0.042715844
num__median_income,0.040571675
num__pct_hispanic,0.0390347
num__log_chlorophenoxy_per_capita,0.031364363
num__pct_white,0.027079873
num__YEAR,0.025766995
num__pct_black,0.024645131
num__log_chlorophenoxy_per_cropland_acre,0.024288183
num__OBESITY,0.019827168
num__population,0.015621167
num__county_crop_concentration,0.01550554
num__median_age,0.014790653
num__pesticide_other_kg,0.012949444
num__log_total_per_capita,0.011986237
num__log_triazine_per_cropland_acre,0.011962649
num__pesticide_chlorophenoxy_kg,0.011692458
num__log_anilide_per_cropland_acre,0.010493637
num__log_resp_per_capita,0.0104047535
num__log_other_per_capita,0.010307861
num__log_triazine_per_capita,0.010156402
num__pct_asian,0.009939547
num__log_other_per_cropland_acre,0.009623264
