feature,coefficient,abs_coef
num__pct_hispanic,-0.6159815194016177,0.6159815194016177
num__log_total_per_capita,-0.5199593108796027,0.5199593108796027
num__pct_white,-0.4538441184013489,0.4538441184013489
num__log_total_per_cropland_acre,-0.3777747645684982,0.3777747645684982
num__CSMOKING,0.36414121355902773,0.36414121355902773
num__pct_black,-0.3254950425594088,0.3254950425594088
num__log_anilide_per_cropland_acre,0.2933321501155373,0.2933321501155373
num__log_anilide_per_capita,-0.2869116765296974,0.2869116765296974
num__log_other_per_capita,0.2825105777638512,0.2825105777638512
num__median_income,-0.2216935911768132,0.2216935911768132
num__log_triazine_per_capita,0.2090503348927776,0.2090503348927776
num__log_other_per_cropland_acre,0.17754219013367886,0.17754219013367886
num__cropland_diversity,0.17609835245121708,0.17609835245121708
num__DIABETES,0.16569335169238184,0.16569335169238184
num__pesticide_anilide_kg,-0.07322146483420569,0.07322146483420569
