feature,coefficient,abs_coef
num__pct_hispanic,-0.5614727974308293,0.5614727974308293
num__CSMOKING,0.4151036921730324,0.4151036921730324
num__pct_white,-0.3942097866655358,0.3942097866655358
num__pct_black,-0.2511610779826445,0.2511610779826445
num__median_income,-0.21914198701582566,0.21914198701582566
num__DIABETES,0.1593371695222863,0.1593371695222863
num__cropland_diversity,0.158751723008753,0.158751723008753
num__pesticide_anilide_kg,-0.14486884047507767,0.14486884047507767
num__median_age,-0.0870026795407625,0.0870026795407625
num__OBESITY,-0.0682578760317051,0.0682578760317051
num__YEAR,-0.0572780862218997,0.0572780862218997
num__rural_binary,-0.04172406829789023,0.04172406829789023
num__pct_asian,-0.026637617140564958,0.026637617140564958
num__pesticide_respiratory_kg,0.02655613074033086,0.02655613074033086
num__pesticide_triazine_kg,0.022729077721468517,0.022729077721468517
