feature,importance
num__median_income,0.05248113
num__pesticide_kasugamycin_kg,0.046565153
num__pesticide_myclobutanil_kg,0.044658076
num__pesticide_bacillus_mycoides_kg,0.03173333
num__pesticide_prohexadione_kg,0.026829636
num__pesticide_bromacil_kg,0.025364747
num__pct_hispanic,0.022032503
num__pesticide_acetochlor_kg,0.02017279
num__pesticide_butralin_kg,0.019613389
num__pesticide_dinotefuran_kg,0.019380728
num__pesticide_fenbuconazole_kg,0.019275874
num__pesticide_terbufos_kg,0.018807583
num__pesticide_decan_1_ol_kg,0.01709271
num__pesticide_primisulfuron_kg,0.016594943
num__pesticide_indaziflam_kg,0.015255166
num__pesticide_dichloropropene_kg,0.013375504
num__pesticide_6_benzyladenine_kg,0.013181174
num__pesticide_ethephon_kg,0.012858116
num__pesticide_tetraconazole_kg,0.012583367
num__pesticide_spinosyn_kg,0.0121031385
num__pesticide_streptomycin_kg,0.010573573
num__pesticide_copper_hydroxide_kg,0.009548126
num__population,0.009379113
num__pct_white,0.009155264
num__pesticide_dodine_kg,0.009096113
