feature,coefficient,abs_coef
num__CSMOKING,0.4300193635177154,0.4300193635177154
num__pct_hispanic,-0.2573147716291258,0.2573147716291258
num__median_income,-0.14381919529749362,0.14381919529749362
num__pesticide_acetochlor_kg,-0.12316038071751674,0.12316038071751674
num__cropland_diversity,0.10536938159123968,0.10536938159123968
num__pesticide_sulfentrazone_kg,-0.07712116050275213,0.07712116050275213
num__DIABETES,0.0632477957002299,0.0632477957002299
num__YEAR,-0.057197694246524655,0.057197694246524655
num__pct_white,-0.054169244911957834,0.054169244911957834
num__median_age,-0.04369272183616966,0.04369272183616966
num__pesticide_metribuzin_kg,0.03148705918795161,0.03148705918795161
num__pesticide_primisulfuron_kg,-0.029896660275855233,0.029896660275855233
num__pesticide_tebuconazole_kg,-0.023418580455118895,0.023418580455118895
num__pesticide_myclobutanil_kg,0.01929483648140592,0.01929483648140592
num__pesticide_quizalofop_kg,-0.017630873917864893,0.017630873917864893
