feature,coefficient,abs_coef
num__pct_hispanic,-0.5644841045600846,0.5644841045600846
num__CSMOKING,0.4146102232994347,0.4146102232994347
num__pct_white,-0.39744016570144935,0.39744016570144935
num__pct_black,-0.2538183800169835,0.2538183800169835
num__median_income,-0.21960166395894457,0.21960166395894457
num__DIABETES,0.16044450959217188,0.16044450959217188
num__cropland_diversity,0.15906965969159995,0.15906965969159995
num__pesticide_anilide_kg,-0.14577513017121083,0.14577513017121083
num__median_age,-0.0875508851706616,0.0875508851706616
num__OBESITY,-0.06917879637679085,0.06917879637679085
num__YEAR,-0.05720273120209998,0.05720273120209998
num__rural_binary,-0.04219579506753258,0.04219579506753258
num__pct_asian,-0.02780694244978693,0.02780694244978693
num__pesticide_respiratory_kg,0.026912236572717744,0.026912236572717744
num__pesticide_triazine_kg,0.024303871638902796,0.024303871638902796
