feature,coefficient,abs_coef
num__pct_hispanic,-0.6113799249669523,0.6113799249669523
num__log_total_per_capita,-0.50453368821294,0.50453368821294
num__pct_white,-0.4490570925936562,0.4490570925936562
num__CSMOKING,0.3644198014375635,0.3644198014375635
num__pct_black,-0.3196326974605593,0.3196326974605593
num__log_anilide_per_capita,-0.27747095003204014,0.27747095003204014
num__log_other_per_capita,0.2644888005881976,0.2644888005881976
num__log_total_per_cropland_acre,-0.25508676656290563,0.25508676656290563
num__log_anilide_per_cropland_acre,0.23486864425988352,0.23486864425988352
num__median_income,-0.22235766448063546,0.22235766448063546
num__log_triazine_per_capita,0.19848722602847216,0.19848722602847216
num__cropland_diversity,0.17518640392799492,0.17518640392799492
num__DIABETES,0.16393406647420047,0.16393406647420047
num__log_other_per_cropland_acre,0.10233212572815953,0.10233212572815953
num__YEAR,-0.07413639486015627,0.07413639486015627
