feature,coefficient,abs_coef
num__CSMOKING,0.32241412282322485,0.32241412282322485
num__pct_hispanic,-0.26987322696732635,0.26987322696732635
num__median_income,-0.17783893405116852,0.17783893405116852
num__DIABETES,0.10869374166515629,0.10869374166515629
num__cropland_diversity,0.08597173303246297,0.08597173303246297
num__pesticide_metribuzin_kg,0.07613984194051333,0.07613984194051333
num__median_age,-0.07219536013013943,0.07219536013013943
num__YEAR,-0.06859891418133951,0.06859891418133951
num__pesticide_acetochlor_kg,-0.06337961082993505,0.06337961082993505
num__pesticide_sulfentrazone_kg,-0.056360593981578916,0.056360593981578916
num__pesticide_dimethenamid_kg,-0.04861712624320377,0.04861712624320377
num__pct_white,-0.0440690509989236,0.0440690509989236
num__pesticide_primisulfuron_kg,-0.04013655283639672,0.04013655283639672
num__pesticide_picloram_kg,-0.03738743308369725,0.03738743308369725
num__pesticide_sulfosulfuron_kg,0.03504628901193406,0.03504628901193406
