feature,coefficient,abs_coef
num__CSMOKING,0.4224290618070971,0.4224290618070971
num__pct_hispanic,-0.27873165248970944,0.27873165248970944
num__median_income,-0.1533777652099648,0.1533777652099648
num__pesticide_acetochlor_kg,-0.1132247691046836,0.1132247691046836
num__cropland_diversity,0.1112472642073118,0.1112472642073118
num__pesticide_sulfentrazone_kg,-0.07453591952191897,0.07453591952191897
num__YEAR,-0.06741291763169026,0.06741291763169026
num__DIABETES,0.06667005665468236,0.06667005665468236
num__pct_white,-0.06485511199824548,0.06485511199824548
num__median_age,-0.05412371850968225,0.05412371850968225
num__pesticide_metribuzin_kg,0.04758694064533665,0.04758694064533665
num__pesticide_primisulfuron_kg,-0.03923172587653437,0.03923172587653437
num__pesticide_myclobutanil_kg,0.029257556844102743,0.029257556844102743
num__pesticide_tebuconazole_kg,-0.028084453502465804,0.028084453502465804
num__pesticide_benfluralin_kg,0.019982797079560907,0.019982797079560907
