feature,coefficient,abs_coef
num__pct_hispanic,-0.6052472706284812,0.6052472706284812
num__log_total_per_capita,-0.4646683012364051,0.4646683012364051
num__pct_white,-0.44321252595503313,0.44321252595503313
num__CSMOKING,0.3645619134177693,0.3645619134177693
num__pct_black,-0.3108883247177195,0.3108883247177195
num__log_anilide_per_capita,-0.2540395616855934,0.2540395616855934
num__median_income,-0.22365108792959565,0.22365108792959565
num__log_other_per_capita,0.21831430708473515,0.21831430708473515
num__log_triazine_per_capita,0.17536014793339844,0.17536014793339844
num__cropland_diversity,0.17320962193062817,0.17320962193062817
num__DIABETES,0.15973239717823867,0.15973239717823867
num__log_anilide_per_cropland_acre,0.1339616827396505,0.1339616827396505
num__log_total_per_cropland_acre,-0.07677657826101915,0.07677657826101915
num__YEAR,-0.07635595666096573,0.07635595666096573
num__median_age,-0.06313668568407745,0.06313668568407745
