feature,importance
num__CSMOKING,0.092417605
num__pesticide_kasugamycin_kg,0.04976125
num__pesticide_propargite_kg,0.03798867
num__pesticide_cyprodinil_kg,0.028809715
num__pesticide_calcium_polysulfide_kg,0.027590206
num__pesticide_myclobutanil_kg,0.024623256
num__pesticide_dodine_kg,0.022132095
num__pesticide_bromacil_kg,0.019701775
num__pesticide_quintozene_kg,0.019334849
num__pesticide_cyflumetofen_kg,0.019315645
num__pesticide_dinotefuran_kg,0.017813053
num__pesticide_tetraconazole_kg,0.016873254
num__pesticide_propyzamide_kg,0.016515266
num__pesticide_spirodiclofen_kg,0.0153696835
num__DIABETES,0.014851814
num__median_income,0.013482341
num__pesticide_fenbuconazole_kg,0.01260785
num__pesticide_fluazifop_kg,0.012383873
num__pesticide_pymetrozine_kg,0.011734757
num__pesticide_tebupirimphos_kg,0.01159585
num__pesticide_tebuconazole_kg,0.009895205
num__pesticide_bacillus_subtilis_kg,0.009286148
num__pesticide_6_benzyladenine_kg,0.009175405
num__pesticide_oryzalin_kg,0.008556837
num__pct_hispanic,0.0081884805
