target,exposure_set,model,rmse,mae,r2,rmse_ci_low,rmse_ci_high
CASTHMA,Aggs_raw,Simple LR (1 feat),0.9927991136766702,0.7854964724993587,0.0006254930701541372,0.9417150769065215,1.0247120969773347
CASTHMA,Aggs_raw,"Multiple LR (Ridge, numeric)",0.6245826998471883,0.49378914309102073,0.6044645561885983,0.5985644227763726,0.6487332142585847
CASTHMA,Aggs_raw,"Multiple LR (Ridge, full preprocess)",0.6245826998471883,0.49378914309102073,0.6044645561885983,0.5985644227763726,0.6487332142585847
CASTHMA,Aggs_raw,Ridge (tuned),0.6245679045817749,0.49378558867795147,0.6044832950443515,0.5985386237922915,0.6487126456828852
CASTHMA,Aggs_raw,Lasso (tuned),0.6248877028988806,0.49402561286279745,0.6040781574828754,0.5988395066325709,0.6488449282136958
CASTHMA,Aggs_raw,ElasticNet (tuned),0.6247979448952524,0.4939558706747766,0.6041918886437176,0.5987517168449957,0.6488014291800654
CASTHMA,Aggs_raw,XGBoost (tuned),0.4574340913473121,0.34813588588278904,0.7878404615850142,0.4329116576967641,0.4825519410998943
CASTHMA,Aggs_engineered,Simple LR (1 feat),0.9927991136766702,0.7854964724993587,0.0006254930701541372,0.9417150769065215,1.0247120969773347
CASTHMA,Aggs_engineered,"Multiple LR (Ridge, numeric)",0.6028748198892594,0.4744298837083672,0.6314810749848243,0.5758026763211989,0.6280169135521453
CASTHMA,Aggs_engineered,"Multiple LR (Ridge, full preprocess)",0.6028748198892594,0.4744298837083672,0.6314810749848243,0.5758026763211989,0.6280169135521453
CASTHMA,Aggs_engineered,Ridge (tuned),0.60254756393794,0.4741113462262322,0.6318810494903572,0.5754096448415461,0.6277106102747484
CASTHMA,Aggs_engineered,Lasso (tuned),0.601335269427083,0.4724896707422665,0.6333608319177775,0.5739222232949374,0.6268462019948998
CASTHMA,Aggs_engineered,ElasticNet (tuned),0.60200792508908,0.4735362502328584,0.6325401255301171,0.574764629422152,0.6272624429507515
CASTHMA,Aggs_engineered,XGBoost (tuned),0.4526221277209612,0.34647842820981734,0.7922805954415941,0.4279564357598119,0.4772976716929565
CASTHMA,Components_raw,Simple LR (1 feat),0.9926584529012727,0.7852783661452237,0.0009086577766361792,0.9415062455534974,1.0245794671183344
CASTHMA,Components_raw,"Multiple LR (Ridge, numeric)",0.6407919426143588,0.5035352780527728,0.5836681946366202,0.6097154462316994,0.6694167109222458
CASTHMA,Components_raw,"Multiple LR (Ridge, full preprocess)",0.6407919426143588,0.5035352780527728,0.5836681946366202,0.6097154462316994,0.6694167109222458
CASTHMA,Components_raw,Ridge (tuned),0.6407535595323812,0.5035057230083577,0.5837180692313304,0.6096816332854582,0.6694609480832912
CASTHMA,Components_raw,Lasso (tuned),0.6402438428574492,0.5030411639784036,0.5843801067400491,0.6094013985488251,0.6690061334639998
CASTHMA,Components_raw,ElasticNet (tuned),0.6404748859911145,0.5032627420813328,0.5840800852717518,0.6095709580196849,0.6692410725406045
CASTHMA,Components_raw,XGBoost (tuned),0.4817260640469896,0.3700950407844738,0.7647087404159869,0.4548202102032544,0.5046821449443329
CASTHMA,Components_engineered,Simple LR (1 feat),0.9827100176288227,0.7745839063410372,0.020834119848722077,0.9318031722045471,1.016802683662943
CASTHMA,Components_engineered,"Multiple LR (Ridge, numeric)",0.6220334712640845,0.49050294985233867,0.6076867157350792,0.5931187592864817,0.6455404805574531
CASTHMA,Components_engineered,"Multiple LR (Ridge, full preprocess)",0.6220334712640845,0.49050294985233867,0.6076867157350792,0.5931187592864817,0.6455404805574531
CASTHMA,Components_engineered,Ridge (tuned),0.6219959701694974,0.49049011007692245,0.6077340178008921,0.5931097962811835,0.6454848174282974
CASTHMA,Components_engineered,Lasso (tuned),0.6220327127453534,0.4904597008999911,0.6076876725221553,0.5933877069029283,0.6453847435244396
CASTHMA,Components_engineered,ElasticNet (tuned),0.6220087299869463,0.49045569622023527,0.6077179235047749,0.5933077461064069,0.6453921856674657
CASTHMA,Components_engineered,XGBoost (tuned),0.47441672611939883,0.3620147920575608,0.7717948244873704,0.4482086126364097,0.49636457165171705
