Value, Category, Count,  Acreage,county_fips,year
1, Corn,174518,38811.9,24035,2016
4, Sorghum,211,46.9,24035,2016
5, Soybeans,119867,26657.8,24035,2016
6, Sunflowers,16,3.6,24035,2016
11, Tobacco,1,0.2,24035,2016
12, Sweet Corn,322,71.6,24035,2016
21, Barley,15,3.3,24035,2016
24, Winter Wheat,5316,1182.2,24035,2016
26, Dbl Crop WinWht/Soybeans,163683,36402.2,24035,2016
27, Rye,46,10.2,24035,2016
29, Millet,72,16.0,24035,2016
36, Alfalfa,2213,492.2,24035,2016
37, Other Hay/Non Alfalfa,19705,4382.3,24035,2016
42, Dry Beans,246,54.7,24035,2016
43, Potatoes,489,108.8,24035,2016
44, Other Crops,142,31.6,24035,2016
46, Sweet Potatoes,29,6.4,24035,2016
47, Misc Vegs & Fruits,225,50.0,24035,2016
48, Watermelons,324,72.1,24035,2016
53, Peas,172,38.3,24035,2016
54, Tomatoes,51,11.3,24035,2016
59, Sod/Grass Seed,2163,481.0,24035,2016
60, Switchgrass,175,38.9,24035,2016
61, Fallow/Idle Cropland,37774,8400.7,24035,2016
67, Peaches,71,15.8,24035,2016
68, Apples,1,0.2,24035,2016
69, Grapes,55,12.2,24035,2016
70, Christmas Trees,30,6.7,24035,2016
111, Open Water,17596,3913.3,24035,2016
121, Developed/Open Space,67280,14962.7,24035,2016
122, Developed/Low Intensity,17807,3960.2,24035,2016
123, Developed/Medium Intensity,6683,1486.3,24035,2016
124, Developed/High Intensity,1670,371.4,24035,2016
131, Barren,531,118.1,24035,2016
141, Deciduous Forest,129285,28752.3,24035,2016
142, Evergreen Forest,5936,1320.1,24035,2016
143, Mixed Forest,2170,482.6,24035,2016
152, Shrubland,9912,2204.4,24035,2016
176, Grass/Pasture,21984,4889.1,24035,2016
190, Woody Wetlands,181033,40260.8,24035,2016
195, Herbaceous Wetlands,19343,4301.8,24035,2016
205, Triticale,2,0.4,24035,2016
216, Peppers,1,0.2,24035,2016
219, Greens,4,0.9,24035,2016
222, Squash,39,8.7,24035,2016
225, Dbl Crop WinWht/Corn,60672,13493.1,24035,2016
226, Dbl Crop Oats/Corn,7,1.6,24035,2016
229, Pumpkins,1,0.2,24035,2016
236, Dbl Crop WinWht/Sorghum,502,111.6,24035,2016
237, Dbl Crop Barley/Corn,2951,656.3,24035,2016
240, Dbl Crop Soybeans/Oats,1,0.2,24035,2016
242, Blueberries,1,0.2,24035,2016
254, Dbl Crop Barley/Soybeans,6409,1425.3,24035,2016
1, Corn,41758,9286.8,24037,2016
4, Sorghum,448,99.6,24037,2016
5, Soybeans,48281,10737.4,24037,2016
11, Tobacco,52,11.6,24037,2016
12, Sweet Corn,33,7.3,24037,2016
21, Barley,303,67.4,24037,2016
24, Winter Wheat,634,141.0,24037,2016
26, Dbl Crop WinWht/Soybeans,39811,8853.8,24037,2016
27, Rye,56,12.5,24037,2016
28, Oats,19,4.2,24037,2016
29, Millet,17,3.8,24037,2016
36, Alfalfa,1362,302.9,24037,2016
37, Other Hay/Non Alfalfa,32191,7159.1,24037,2016
42, Dry Beans,1,0.2,24037,2016
44, Other Crops,5,1.1,24037,2016
48, Watermelons,10,2.2,24037,2016
54, Tomatoes,4,0.9,24037,2016
58, Clover/Wildflowers,19,4.2,24037,2016
59, Sod/Grass Seed,127,28.2,24037,2016
60, Switchgrass,23,5.1,24037,2016
61, Fallow/Idle Cropland,17337,3855.7,24037,2016
67, Peaches,46,10.2,24037,2016
70, Christmas Trees,75,16.7,24037,2016
111, Open Water,24859,5528.5,24037,2016
121, Developed/Open Space,104620,23266.9,24037,2016
122, Developed/Low Intensity,30599,6805.1,24037,2016
123, Developed/Medium Intensity,13868,3084.2,24037,2016
124, Developed/High Intensity,4761,1058.8,24037,2016
131, Barren,1089,242.2,24037,2016
141, Deciduous Forest,405410,90161.0,24037,2016
142, Evergreen Forest,94119,20931.6,24037,2016
143, Mixed Forest,34571,7688.4,24037,2016
152, Shrubland,14480,3220.3,24037,2016
